id,nama,kabupaten,rating,total_review,kategori,highlights,price_range,best_time,link,lat,lng,tiktok_link_1,tiktok_link_2,tiktok_link_3
175,BTM Penida,Klungkung,4.7,2185,General Chill,"['snorkeling', 'nasi goreng', 'mie goreng', 'masakan indonesia', 'jus semangka', 'soto ayam']",Rp 80–200k,Lunch atau dinner,"https://www.google.com/maps/place/BTM+Penida/@-8.6765887,115.4617695,13z/data=!4m10!1m2!2m1!1sRestoran+Nusa+Penida!3m6!1s0x2dd271d504496281:0x13aaba831705e994!8m2!3d-8.7200092!4d115.5052033!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjRNVjlYT1dwQlJSQULgAQD6AQQIABAu!16s%2Fg%2F11gfjd48xg?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.7200092,115.5052033,,,
176,Warung Forest,Klungkung,4.7,586,General Chill,"['pulau', 'jus', 'kepemilikan', 'taman', 'makanan tradisional', 'pemilik']",Rp 80–200k,Lunch atau dinner,"https://www.google.com/maps/place/Warung+Forest/@-8.718449,115.5158426,13z/data=!4m10!1m2!2m1!1sRestoran+Nusa+Penida!3m6!1s0x2dd27697d7702a61:0xc0980e4f8642044a!8m2!3d-8.718449!4d115.5920603!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFTTUU1dVVYUlVNazVTV1hreFZGTXdSVEJsYTAwMVdtMXdNMU5yUlJBQuABAPoBBAgAEDs!16s%2Fg%2F11c2q4zg_8?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.718449,115.5920603,https://www.tiktok.com/@deboracsorgo/video/7610244565638974742,https://www.tiktok.com/@otw_melali/video/7554613979767721234,https://www.tiktok.com/@vendome_foodie/video/7548120808158334210
177,Wyn's Penida Cafe,Klungkung,4.7,3131,General Chill,"['konser', 'pulau', 'smoothie bowl', 'penyanyi', 'nanta', 'roti panggang alpukat']",Rp 80–200k,Lunch atau dinner,"https://www.google.com/maps/place/Wyn's+Penida+Cafe/@-8.6791323,115.4136304,13z/data=!4m10!1m2!2m1!1sRestoran+Nusa+Penida!3m6!1s0x2dd273973887b7d5:0x63373f98a3331380!8m2!3d-8.6791323!4d115.4898481!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUktNV1JoTldKbkVBReABAPoBBAgAECQ!16s%2Fg%2F11mvp1d95b?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.6791323,115.4898481,https://www.tiktok.com/@wynscafe.penida/video/7626425239672458517,https://www.tiktok.com/@wynscafe.penida/video/7626424564444171541,https://www.tiktok.com/@sasensop/video/7593744066433600801
178,"Kelingking Bar, Coffee and Restaurant",Klungkung,4.7,3381,Sunset & View,"['smoothie bowl', 'pantai kelingking', 'mi goreng', 'sate ayam', 'ayam mete', 'mangkuk mangga']",Rp 150–400k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Kelingking+Bar,+Coffee+and+Restaurant/@-8.7466472,115.4009968,13z/data=!4m10!1m2!2m1!1sRestoran+Nusa+Penida!3m6!1s0x2dd271b1565d4a43:0x5f802ee7ccad67ac!8m2!3d-8.7466472!4d115.4772145!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9OV015YkdSM0VBReABAPoBBAgAEEc!16s%2Fg%2F11fkr3m1lp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.7466472,115.4772145,https://www.tiktok.com/@kbr_2019/video/7354589688134470918,https://www.tiktok.com/@kbr_2019/video/7348661836939644166,https://www.tiktok.com/@kbr_2019/video/7581735464529382676
179,Kima Bay Restaurant & Bar,Klungkung,4.7,688,Vibrant Nightlife,"['cocktail', 'hutan rimba', 'pulau', 'jazz', 'konser', 'kue cokelat cair']",Rp 80–200k,Malam jam 7pm+,"https://www.google.com/maps/place/Kima+Bay+Restaurant+%26+Bar/@-8.7466472,115.4009968,13z/data=!4m10!1m2!2m1!1sRestoran+Nusa+Penida!3m6!1s0x2dd26df78748cf97:0x1f16ccd1cd8ee600!8m2!3d-8.7120625!4d115.4679375!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNlalpZVGpCUlJSQULgAQD6AQQIABBJ!16s%2Fg%2F11vyybg7hn?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.7120625,115.4679375,https://www.tiktok.com/@svevaacienzo/video/7636042130095361302,https://www.tiktok.com/@scranwithsmok/video/7528151765326548246,https://www.tiktok.com/@nova_namanyaa/video/7585938966440987911
180,Ogix Warung (Grilled fish specials),Klungkung,4.7,1021,Sunset & View | Budget Friendly,"['samudra', 'sate', 'the view', 'nasi goreng', 'pemandangan', 'ikan bakar']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Ogix+Warung+(Grilled+fish+specials)/@-8.715743,115.5175399,13z/data=!4m11!1m3!2m2!1sRestoran+Nusa+Penida!6e5!3m6!1s0x2dd27697bb0a55f9:0x900289f874105e67!8m2!3d-8.715743!4d115.5937576!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBEnNlYWZvb2RfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSWJuTnRRa2xCRUFF4AEA-gEECAAQRA!16s%2Fg%2F11g8ykzhck?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.715743,115.5937576,https://www.tiktok.com/@ogixwarung/video/7328608483102821637,,
181,Cactus Beach Club & Restaurant,Klungkung,4.7,2685,Sunset & View,"['kolam renang', 'samudra', 'sunset', 'handuk', 'relaksasi', 'shisha']",Rp 150–400k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Cactus+Beach+Club+%26+Restaurant/@-8.715743,115.5175399,13z/data=!4m11!1m3!2m2!1sRestoran+Nusa+Penida!6e5!3m6!1s0x2dd2754da190d497:0xa1d23ce19444f45a!8m2!3d-8.6924428!4d115.5808889!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKTWpKNFgyWktlR1pwTlVWUkVBReABAPoBBAgAEEY!16s%2Fg%2F11jzrdz9nt?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.6924428,115.5808889,https://www.tiktok.com/@smw_ventures/video/7518982064394292494,https://www.tiktok.com/@asia_in_travel/video/7582528516843949334,https://www.tiktok.com/@asia_in_travel/video/7491928088406805782
182,NOMÉ BEACH Restaurant & Bar | Nusa Penida,Klungkung,4.7,1585,Sunset & View | Vibrant Nightlife | Romantic & Cozy,"['kolam renang', 'cocktail', 'samudra', 'snorkling', 'sunset', 'happy hour']",Rp 150–400k,Sunset jam 5–7pm,"https://www.google.com/maps/place/NOM%C3%89+BEACH+Restaurant+%26+Bar+%7C+Nusa+Penida/@-8.674517,115.4325523,13z/data=!4m10!1m3!2m2!1sRestoran+Nusa+Penida!6e5!3m5!1s0x2dd2737ee22fe651:0x78f16a8d25d1d692!8m2!3d-8.6745168!4d115.5087703!16s%2Fg%2F11s5cz3k0t?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.6745168,115.5087703,https://www.tiktok.com/@nomebeach.penida/video/7595403505804905761,https://www.tiktok.com/@nomebeach.penida/video/7595770503776849185,https://www.tiktok.com/@nomebeach.penida/video/7591826209772768545
183,Bollywood Indian Cuisine Nusa Penida,Klungkung,4.7,1699,Vibrant Nightlife,"['masakan india', 'pulau', 'roti naan bawang putih', 'dal tadka', 'dal makhani', 'paneer butter masala']",Rp 150–400k,Malam jam 7pm+,"https://www.google.com/maps/place/Bollywood+Indian+Cuisine+Nusa+Penida/@-8.674517,115.4325523,13z/data=!4m11!1m3!2m2!1sRestoran+Nusa+Penida!6e5!3m6!1s0x2dd2735c677eb3d3:0x1335b9921bff95f4!8m2!3d-8.6740807!4d115.5504842!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKWVUxeE5FZFVlWEZVZVcxUlJSQULgAQD6AQQIABA5!16s%2Fg%2F11sk7d13j2?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.6740807,115.5504842,https://www.tiktok.com/@nursewhovlogs/video/7569545746228219157,https://www.tiktok.com/@dexselyx/video/7401931123997166853,https://www.tiktok.com/@bollywoodindiancuisine/video/7618531072929729812
184,Eastside Penida Kitchen & Bar,Klungkung,4.7,1810,General Chill,"['pulau', 'diamond beach nusa penida', 'pasta makanan laut', 'yuta okkotsu', 'nusa penida tour atuh beach', 'smoothie bowl']",Rp 80–200k,Lunch atau dinner,"https://www.google.com/maps/place/Eastside+Penida+Kitchen+%26+Bar/@-8.775807,115.5322905,13z/data=!4m11!1m3!2m2!1sRestoran+Nusa+Penida!6e5!3m6!1s0x2dd277df901e55eb:0x204e1d8da46a297b!8m2!3d-8.775807!4d115.6085082!15sChRSZXN0b3JhbiBOdXNhIFBlbmlkYVoWIhRyZXN0b3JhbiBudXNhIHBlbmlkYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnlNalJETjJoM1JSQULgAQD6AQQIPRA3!16s%2Fg%2F11vyckdr7h?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.775807,115.6085082,https://www.tiktok.com/@yalim.katravel/video/7596715478794489110,https://www.tiktok.com/@oneflorist_nusapenida/video/7576586949083860232,https://www.tiktok.com/@kiaya.travels/video/7515797685576764694
185,Rumah Makan Tegal Dadong,Jembrana,4.1,355,Family Friendly | Budget Friendly,"['harga', 'harga', 'kolam', 'sejuk', 'anak', 'luas']",Rp 15–50k,Lunch jam 11am–2pm,"https://www.google.com/maps/place/Rumah+Makan+Tegal+Dadong/@-8.3434455,114.4720147,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd1622177522c23:0xdc6630864b81e5a2!8m2!3d-8.3434455!4d114.62445!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBFWlrYW5fYmFrYXJfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRU5WbDFWR1ozRUFF4AEA-gEFCIIBEDw!16s%2Fg%2F11f0ky8dp7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3434455,114.62445,https://www.tiktok.com/@imel.bsa12/video/7609654937244454162,https://www.tiktok.com/@kakaul11/video/7615935417233313045,https://www.tiktok.com/@warungtegalldadong/video/7605164681543634184
186,Warung Sri,Jembrana,4.1,613,Family Friendly | Budget Friendly,"['harga', 'harga', 'ayam bakar', 'masakannya', 'sambal', 'negara']",Rp 15–50k,Lunch jam 11am–2pm,"https://www.google.com/maps/place/Warung+Sri/@-8.3434455,114.4720147,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd1621d2d9968fd:0x75bda2483bea385b!8m2!3d-8.3565051!4d114.6215542!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXhjWFV6U3paM1JSQULgAQD6AQQIABAs!16s%2Fg%2F1hm1zf12w?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3565051,114.6215542,,,
187,Izzy Resto Negara,Jembrana,4.1,509,Budget Friendly,"['harga', 'panas', 'pesan', 'standar', 'pelayanan', 'motor']",Rp 15–50k,Lunch atau dinner,"https://www.google.com/maps/place/Izzy+Resto+Negara/@-8.3434455,114.4720147,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd16325b8ca6e4f:0x95599d896d0e3c6e!8m2!3d-8.3611932!4d114.6327574!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBqTUZNd1ZrVmliRkpGV1d0bmRGcHVhREpqVjBsNVRta3dkMkl6WXhBQuABAPoBBAgAED4!16s%2Fg%2F11qq2s5z3k?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3611932,114.6327574,,,
188,Rumah Makan Bidadari ᬭᬸᬫᬄᬫᬓᬦ᭄ᬩᬶᬤᬤᬭᬶ᭟,Jembrana,4.1,5741,Budget Friendly,"['harga', 'travel', 'prasmanan', 'bus', 'rest area', 'wisata']",Rp 15–50k,Lunch atau dinner,"https://www.google.com/maps/place/Rumah+Makan+Bidadari+%E1%AC%AD%E1%AC%B8%E1%AC%AB%E1%AC%84%E1%AC%AB%E1%AC%93%E1%AC%A6%E1%AD%84%E1%AC%A9%E1%AC%B6%E1%AC%A4%E1%AC%A4%E1%AC%AD%E1%AC%B6%E1%AD%9F/@-8.3434455,114.4720147,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd1604b54b1712b:0x87529175c06420f5!8m2!3d-8.344954!4d114.5714629!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBFWluZG9uZXNpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VST2RHWkhSSE4zUlJBQuABAPoBBAgAEEE!16s%2Fg%2F11b7q9p4rj?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.344954,114.5714629,https://www.tiktok.com/@buitenzorg57/video/7600378093101944082,https://www.tiktok.com/@buitenzorg57/video/7605935433570209031,https://www.tiktok.com/@nhyschatzie/video/7520097580349492486
189,Panggung Kuliner Muara Indah,Jembrana,4.1,143,Sunset & View | Family Friendly | Budget Friendly,"['harga', 'pantai', 'pelayanan', 'harga', 'pemandangan', 'luas']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Panggung+Kuliner+Muara+Indah/@-8.3434455,114.4720147,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd3df792b68a78b:0x73ee9fa3f14cce03!8m2!3d-8.4008841!4d114.6015527!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBEnNlYWZvb2RfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNdFowMVFTalZuUlJBQuABAPoBBAgAEDU!16s%2Fg%2F11pz4ysf96?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.4008841,114.6015527,https://www.tiktok.com/@polresjembrana/video/7338367456630607110,https://www.tiktok.com/@alzaynkayl/video/7613001155899264274,https://www.tiktok.com/@evimamajegeg6/video/7305666429674687749
190,De Jukung Cafe,Jembrana,4.1,502,Budget Friendly,"['harga', 'pizza', 'fish and chips', 'milkshake', 'nasi goreng', 'katsu']",Rp 15–50k,Lunch atau dinner,"https://www.google.com/maps/place/De+Jukung+Cafe/@-8.4176102,114.654304,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd3d6a0568334d9:0xde758876b329853c!8m2!3d-8.4176102!4d114.8067393!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBFWluZG9uZXNpYW5fcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOa2IwOTJiRkZCRUFF4AEA-gEECAAQNw!16s%2Fg%2F11csrkcn0g?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.4176102,114.8067393,https://www.tiktok.com/@dejukungcafe.mede/video/7636395863094430984,https://www.tiktok.com/@musmuslimin00011/video/7585074934238547220,
191,Warung makan Jepun,Jembrana,4.1,491,Sunset & View | Budget Friendly,"['harga', 'nasi campur', 'sawah', 'pepes', 'lawar', 'negara']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Warung+makan+Jepun/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd1620e23aee1b7:0x1f34ba058b957cc2!8m2!3d-8.3561875!4d114.6354375!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBE2JhbGluZXNlX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlNjMjl1Y2psUlJSQULgAQD6AQUIowEQQw!16s%2Fg%2F11bwkqcrns?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3561875,114.6354375,https://www.tiktok.com/@deprianthony/video/7575473627034864916,https://www.tiktok.com/@itsdyahp/video/7614298468948970770,https://www.tiktok.com/@hilusiana/video/7509818592809012486
192,Mie Gacoan Negara,Jembrana,4.1,5876,Family Friendly | Vibrant Nightlife | Budget Friendly,"['harga', 'luas', 'keju', 'kasir', 'level', 'udang']",Rp 15–50k,Malam jam 7pm+,"https://www.google.com/maps/place/Mie+Gacoan+Negara/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd163111dfa29b5:0x68beb8580223199e!8m2!3d-8.3592079!4d114.6352885!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBC25vb2RsZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5sZEc5RWJHZEJSUkFC4AEA-gEECAAQPg!16s%2Fg%2F11sqk4r86y?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3592079,114.6352885,https://www.tiktok.com/@jajanirit.tiktok/video/7558316958903471372,https://www.tiktok.com/@ceriwismakan/video/7610827496153566465,https://www.tiktok.com/@pecandupromo/video/7606345227422485767
193,Rosari Bistro,Jembrana,4.1,486,Budget Friendly,"['harga', 'pelayanan', 'negara', 'lantai', 'bakery', 'kue']",Rp 15–50k,Lunch atau dinner,"https://www.google.com/maps/place/Rosari+Bistro/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd16369458e691f:0xf26dfe8cb842adb4!8m2!3d-8.3628752!4d114.6200493!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlNiSEJEUlZoUkVBReABAPoBBAgaEDc!16s%2Fg%2F11gbxcm9ks?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3628752,114.6200493,https://www.tiktok.com/@septa.libra/video/7611840159847419154,https://www.tiktok.com/@imel.bsa12/video/7372017256856915205,https://www.tiktok.com/@ambar99_/video/7376973141542702342
194,Warung Ikan Bakar Kurma Asih (Seafood),Jembrana,4.1,371,Sunset & View | Budget Friendly,"['harga', 'penyu', 'sunset', 'bumbu', 'kerang', 'konservasi']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Warung+Ikan+Bakar+Kurma+Asih+(Seafood)/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd3dfcb31fd5cd5:0x43ef631106f5b321!8m2!3d-8.4041798!4d114.6096593!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjFiRXBVYmtGUkVBReABAPoBBAgAEEg!16s%2Fg%2F11h28bxppl?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.4041798,114.6096593,https://www.tiktok.com/@visit.westbali/video/7536456855405579576,https://www.tiktok.com/@balikulinersejati/video/7407392107226238213,https://www.tiktok.com/@wr.kurma_asih/video/7617030390242397461
195,LESEHAN IKAN BAKAR MUARA MALANG M2,Jembrana,4.1,71,Sunset & View | Budget Friendly,"['harga', 'pelayanan', 'harga', 'bumbu', 'sawah', 'iga']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/LESEHAN+IKAN+BAKAR+MUARA+MALANG+M2/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd3df349f1e0a25:0x92c7b85f0d19ecf9!8m2!3d-8.3867406!4d114.5929912!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBFWlrYW5fYmFrYXJfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcWRYSXlSVFZuUlJBQuABAPoBBAgAEDs!16s%2Fg%2F11v5y4yp39?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3867406,114.5929912,https://www.tiktok.com/@kulinernegaroa/video/7315661575971589381,https://www.tiktok.com/@muaramalangm2/video/7277597708968283397,https://www.tiktok.com/@muaramalangm2/video/7325321939751292166
196,WARUNG MAKAN BANYUWANGI,Jembrana,4.1,37,Family Friendly | Budget Friendly,"['harga', 'kambing', 'harga', 'tongseng', 'pinggir jalan', 'luas']",Rp 15–50k,Lunch jam 11am–2pm,"https://www.google.com/maps/place/WARUNG+MAKAN+BANYUWANGI/@-8.3561875,114.4830022,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd16178bcee4b1b:0xdfbfeb15a206a27b!8m2!3d-8.3626724!4d114.6188926!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBFWluZG9uZXNpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTWVXRTNRM1pSUlJBQuABAPoBBAgAECU!16s%2Fg%2F11tms016mj?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3626724,114.6188926,https://www.tiktok.com/@recomenbyveya/video/7595172046422674696,https://www.tiktok.com/@windaowner_/video/7566137595361561876,https://www.tiktok.com/@nomnombali/video/7554364254468558087
197,Warung Negaroa Mujair Nyatnyat & Bakar,Jembrana,4.1,351,Sunset & View | Family Friendly | Budget Friendly,"['harga', 'sawah', 'luas', 'ikan', 'bumbu', 'pelayanan']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Warung+Negaroa+Mujair+Nyatnyat+%26+Bakar/@-8.4012757,114.6180975,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd3d7a45cfdbb09:0x46c5b23f2808bbe7!8m2!3d-8.4012757!4d114.7705328!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjROVGg2ZUhkblJSQULgAQD6AQQIABBE!16s%2Fg%2F11kwh143_0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.4012757,114.7705328,https://www.tiktok.com/@warungnegaroa/video/7400241813476429061,https://www.tiktok.com/@warungnegaroa/video/7383241392203517190,https://www.tiktok.com/@warungnegaroa/video/7123768635973274906
198,Warung tungku mbak Legi,Jembrana,4.1,43,Budget Friendly,"['harga', 'harga', 'nasi goreng', 'mie']",Rp 15–50k,Lunch atau dinner,"https://www.google.com/maps/place/Warung+tungku+mbak+Legi/@-8.3531353,114.477818,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd163a222952c5d:0x890b30d0a6ed81b7!8m2!3d-8.3531353!4d114.6302533!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnFkRTE2T0Y5blJSQULgAQD6AQQIABAd!16s%2Fg%2F11lgv1sqj5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3531353,114.6302533,https://www.tiktok.com/@shiintaa.naa/video/7637003869666413845,https://www.tiktok.com/@dhianka74/video/7552311393907707144,
199,Lesehan Kreteg Nyirang,Jembrana,4.1,156,Sunset & View | Budget Friendly,"['harga', 'sawah', 'harga', 'sambal', 'ikan bakar', 'ayam bakar']",Rp 15–50k,Sunset jam 5–7pm,"https://www.google.com/maps/place/Lesehan+Kreteg+Nyirang/@-8.3531353,114.477818,12z/data=!4m10!1m2!2m1!1sKuliner+Jembrana+Negara!3m6!1s0x2dd1617340733e33:0xc3166710e779580f!8m2!3d-8.3572831!4d114.6042982!15sChdLdWxpbmVyIEplbWJyYW5hIE5lZ2FyYVoZIhdrdWxpbmVyIGplbWJyYW5hIG5lZ2FyYZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjFheloyTjJabkVBReABAPoBBAgAECk!16s%2Fg%2F11f66qmvpy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",-8.3572831,114.6042982,https://www.tiktok.com/@cak_imim/video/7543284236351065349,https://www.tiktok.com/@gu.boy.ba/video/7584754790358469909,
